Designator,MPN/Seeed SKU,Qty
"C1,C2,C4,C5,C9,C13,C17,C22,C24,C25,C26,C27,C28,C31,C32,C34,C35,C37,C38,C39,C41",0603YC104JAT2A,21
"C11,C14,C16,C18",F931C107KCC,4
"C7,C40",C0603X103J4RACTU,2
"C6,C15,C21,C33",EMK107BC6106MA-T,4
"C8,C10",C0603C150J3GACTU,2
"C30,C36",885012006029,2
"C20,C42",GCJ188R71E105KA01D,2
"C12,C19",293D336X9016B2TE3,2
"C23,C29",VJ0603A3R3BXJCW1BC,2
CON1,ZX62D-B-5PA8(30),1
"D1,D2",DL5235B-TP,2
"D3,D4",HSMC-C170-T0000,2
F1,C1Q 500,1
L1,MLZ2012N100LTD25,1
Q2,MMBT3904,1
"Q1,Q3",SMMBT3906WT1G,2
"R1,R2,R3,R10,R14,R16,R17,R18,R19,R21,R22,R23,R25,R28,R29,R31,R32,R33,R35,R37,R38,R39,R42",CPF0603D10KE,23
"R4,R13,R54,R55,R56,R57",RR0816Q-180-D,6
"R5,R11,R27,R36,R47",APC0603B1K00N,5
"R24,R34,R45",CPF0603B1M0E1,3
"R6,R7,R8,R9",PCF-W0603LF-03-2000-B-P-LT,4
"R20,R30,R40,R46",RR0816P-204-D,4
R49,RR0816P-561-D,1
"R12,R15,R26,R41,R43,R44,R52,R53",RR0816P-512-D,8
RV1,RK09K111F15C0B104,1
"U11,U12",MCP6S21-I/SN,2
U2,74HC126D(BJ),1
U5,TC7660SEOA713,1
U6,LM1117MPX-3.3/NOPB,1
U7,LM324DR,1
U1,MCP2200-I/SO,1
U9,MCP4728-E/UN,1
U3,PIC24EP256GP204-I/PT,1
U4,TC1240AECHTR,1
"U8,U10,U13,U16",TL082CDRE4,4
X1,ECS-120-20-46X,1
