Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C-RESCUE-proto1,C1 C2 C4 C5 C9 C13 C17 C22 C24 C25 C26 C27 C28 C31 C32 C34 C35 C37 C38 C39 C41,0.1u,C_0603,21,
2,,CAPAPOL,C11 C14 C16 C18,100u,CP_Tantalum_Case-C_EIA-6032-28_Reflow,4,
3,,C-RESCUE-proto1,C7 C40,10nF,C_0603,2,
4,,C-RESCUE-proto1,C6 C15 C21 C33,10u,C_0603,4,
5,,C-RESCUE-proto1,C30 C36,1nF,C_0603,2,
6,,C-RESCUE-proto1,C20 C42,1u,C_0603,2,
7,,C-RESCUE-proto1,C8 C10,33p,C_0603,2,
8,Unpolarized capacitor,C,C3 C43,33p,C_0603,2,
9,,CAPAPOL,C12 C19,33u,CP_Tantalum_Case-B_EIA-3528-21_Reflow,2,
10,,C-RESCUE-proto1,C23 C29,3p3,C_0603,2,
11,,USB-MINI-B,CON1,USB-MINI-B,USB_Micro-B,1,
12,,ZENERsmall-RESCUE-proto1,D1 D2,6V8,D_MiniMELF,2,
13,,LED-RESCUE-PSLab,D3 D4,LED,LED_0805,2,
14,,FUSE,F1,0.5A,Fuse_SMD1206_Reflow,1,
15,"Generic connector, single row, 01x07",Conn_01x07,J8,Conn_01x07,Pin_Header_Straight_1x07_Pitch2.54mm,1,
16,point,TEST_1P,J13,D+,Measurement_Point_Square-SMD-Pad_Small,1,
17,point,TEST_1P,J14,D-,Measurement_Point_Square-SMD-Pad_Small,1,
18,"Generic connector, double row, 02x14, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers)",Conn_02x14_Odd_Even,J2,DoublePins,Pin_Header_Straight_2x14_Pitch2.54mm,1,
19,point,TEST_1P,J10,GND,Measurement_Point_Square-SMD-Pad_Small,1,
20,"Generic connector, single row, 01x04",Conn_01x04,J6,I2C-1,Pin_Header_Straight_1x04_Pitch2.54mm,1,
21,"Generic connector, single row, 01x04",Conn_01x04,J16,I2C-2,Pin_Header_Straight_1x04_Pitch2.54mm,1,
22,"Generic connector, single row, 01x04",Conn_01x04,J3,LA,Pin_Header_Straight_1x04_Pitch2.54mm,1,
23,"Generic connector, single row, 01x12",Conn_01x12,J4,Outputs,Pin_Header_Straight_1x12_Pitch2.54mm,1,
24,"Generic connector, single row, 01x02",Conn_01x02,J15,PCs,Pin_Header_Straight_1x02_Pitch2.54mm,1,
25,"Generic connector, single row, 01x06",Conn_01x06,J9,PVs,Pin_Header_Straight_1x06_Pitch2.54mm,1,
26,"Generic connector, single row, 01x06",Conn_01x06,J1,Programmer,Pin_Header_Straight_1x06_Pitch2.54mm,1,
27,point,TEST_1P,J11,Vbus,Measurement_Point_Square-SMD-Pad_Small,1,
28,,INDUCTOR_SMALL,L1,10uH,L_0603,1,
29,,CONN_02X04,P7,NRF,Pin_Header_Straight_2x04_Pitch2.54mm,1,
30,"45V Vce, 0.8A Ic, NPN, SOT-23",MMBT3904,Q2,MMBT3904,SOT-23,1,http://www.fairchildsemi.com/ds/BC/BC817.pdf
31,"45V Vce, 0.8A Ic, PNP, SOT-23",MMBT3906,Q1 Q3,MMBT3906,SOT-23,2,http://www.fairchildsemi.com/ds/BC/BC807.pdf
32,,R-RESCUE-proto1,R1 R2 R3 R10 R14 R16 R17 R18 R19 R21 R22 R23 R25 R28 R29 R31 R32 R33 R35 R37 R38 R39 R42,10K,R_0603,23,
33,,R-RESCUE-proto1,R4 R13 R54 R55 R56 R57,18,R_0603,6,
34,,R-RESCUE-proto1,R5 R11 R27 R36 R47,1K,R_0603,5,
35,,R-RESCUE-proto1,R24 R34 R45,1M,R_0603,3,
