Ref,Val,Package,PosX,PosY,Rot,Side
"JP1","ESP Reset","GS2",15.510000,13.780000,0.000000,bottom
"JP2","UART Reset","GS2",11.480000,44.270000,0.000000,bottom
"S5","OpnTec_Logo","OpnTec_Logo",64.160000,25.730000,270.000000,bottom
"S7","PSL_Logo","PSL_Logo",21.860000,25.730000,270.000000,bottom
"S9","QR_Code","Website_QR",53.560000,25.730000,0.000000,bottom
"S10","FOSSASIA_Logo_L","FOSSASIA_LogoL",70.810000,25.580000,270.000000,bottom
"U15","ESP8266","Hopref_RFM9XW_SMD",8.500000,24.810000,90.000000,bottom
"C1","1n","C_0603",1.590000,9.580000,270.000000,top
"C2","0.1u","C_0603",2.220000,31.480000,0.000000,top
"C4","0.1u","C_0603",38.190000,23.220000,90.000000,top
"C6","10u","C_0603",14.270000,7.040000,180.000000,top
"C7","10nF","C_0603",10.800000,9.580000,180.000000,top
"C8","33p","C_0603",40.660000,37.890000,270.000000,top
"C9","0.1u","C_0603",33.740000,7.030000,0.000000,top
"C10","33p","C_0603",44.350000,37.890000,270.000000,top
"C11","100u","CP_Tantalum_Case-C_EIA-6032-28_Reflow",19.010000,40.380000,90.000000,top
"C12","33u","CP_Tantalum_Case-B_EIA-3528-21_Reflow",24.410000,39.180000,90.000000,top
"C13","0.1u","C_0603",47.120000,31.950000,0.000000,top
"C14","100u","CP_Tantalum_Case-C_EIA-6032-28_Reflow",15.460000,32.670000,180.000000,top
"C15","10u","C_0603",10.060000,50.120000,270.000000,top
"C16","100u","CP_Tantalum_Case-C_EIA-6032-28_Reflow",40.860000,42.380000,180.000000,top
"C17","0.1u","C_0603",58.110000,24.960000,180.000000,top
"C18","100u","CP_Tantalum_Case-C_EIA-6032-28_Reflow",24.050000,47.100000,0.000000,top
"C19","33u","CP_Tantalum_Case-B_EIA-3528-21_Reflow",35.140000,47.100000,180.000000,top
"C20","1u","C_0603",2.760000,50.120000,270.000000,top
"C21","10u","C_0603",50.230000,14.740000,0.000000,top
"C22","0.1u","C_0603",77.480000,20.040000,180.000000,top
"C23","3p3","C_0603",69.350000,25.330000,270.000000,top
"C24","0.1u","C_0603",66.280000,46.280000,180.000000,top
"C25","0.1u","C_0603",73.530000,28.420000,0.000000,top
"C26","0.1u","C_0603",78.080000,28.420000,0.000000,top
"C27","0.1u","C_0603",71.310000,46.280000,0.000000,top
"C28","0.1u","C_0603",64.180000,12.270000,180.000000,top
"C29","3p3","C_0603",60.670000,17.470000,270.000000,top
"C30","1nF","C_0603",21.290000,12.180000,180.000000,top
"C31","0.1u","C_0603",69.740000,20.040000,0.000000,top
"C32","0.1u","C_0603",84.610000,42.250000,0.000000,top
"C33","10u","C_0603",29.440000,7.030000,180.000000,top
"C34","0.1u","C_0603",65.650000,28.420000,180.000000,top
"C35","0.1u","C_0603",24.700000,15.950000,0.000000,top
"C36","1nF","C_0603",25.090000,7.030000,0.000000,top
"C37","0.1u","C_0603",68.140000,36.860000,0.000000,top
"C38","0.1u","C_0603",32.080000,15.840000,0.000000,top
"C39","0.1u","C_0603",84.400000,18.740000,270.000000,top
"C40","10nF","C_0603",17.810000,7.030000,0.000000,top
"C41","0.1u","C_0603",60.670000,12.980000,270.000000,top
"C42","1u","C_0603",71.620000,36.850000,0.000000,top
"C44","4.7u","C_0603",15.640000,43.940000,90.000000,top
"C46","4.7u","C_0603",13.410000,43.940000,90.000000,top
"CON1","USB-MINI-B","USB_Micro-B",3.110000,38.730000,270.000000,top
"D1","6V8","D_MiniMELF",29.950000,30.750000,90.000000,top
"D2","6V8","D_MiniMELF",51.440000,44.160000,270.000000,top
"D3","LED","LED_0805",62.540000,22.510000,270.000000,top
"D4","LED","LED_0805",2.740000,46.260000,90.000000,top
"F1","0.5A","Fuse_SMD1206_Reflow",8.060000,46.260000,90.000000,top
"J12","SD_Switch","SW_SPST_SKQG",5.690000,9.630000,270.000000,top
"L1","10uH","L_0603",52.130000,31.120000,90.000000,top
"P1","SDCard","microSD_HC_Hirose_DM3AT-SF-PEJM5",8.390000,21.680000,270.000000,top
"Q1","MMBT3906","SOT-23",84.860000,38.760000,0.000000,top
"Q2","MMBT3904","SOT-23",29.320000,36.150000,180.000000,top
"Q3","MMBT3906","SOT-23",44.290000,46.870000,180.000000,top
"R1","10K","R_0603",48.820000,37.830000,90.000000,top
"R2","10K","R_0603",39.980000,29.250000,180.000000,top
"R3","10K","R_0603",39.980000,31.340000,180.000000,top
"R4","18","R_0603",21.980000,34.370000,180.000000,top
"R5","1K","R_0603",26.290000,34.360000,0.000000,top
"R6","200","R_0603",81.270000,5.400000,90.000000,top
"R7","200","R_0603",83.820000,5.420000,90.000000,top
"R8","200","R_0603",86.350000,5.420000,90.000000,top
"R9","200","R_0603",88.890000,5.440000,90.000000,top
"R10","10K","R_0603",52.130000,34.240000,90.000000,top
"R11","1K","R_0603",41.180000,46.860000,90.000000,top
"R12","5K1","R_0603",52.090000,37.810000,270.000000,top
"R13","18","R_0603",30.260000,47.100000,180.000000,top
"R14","10K","R_0603",58.010000,28.440000,0.000000,top
"R15","5K1","R_0603",21.290000,9.580000,180.000000,top
"R16","10K","R_0603",55.270000,34.240000,270.000000,top
"R17","10K","R_0603",55.270000,37.810000,90.000000,top
"R18","10K","R_0603",66.280000,48.440000,0.000000,top
"R19","10K","R_0603",71.290000,48.440000,0.000000,top
"R20","200K","R_0603",71.220000,25.320000,270.000000,top
"R21","10K","R_0603",21.290000,7.030000,180.000000,top
"R22","10K","R_0603",82.450000,18.750000,270.000000,top
"R23","10K","R_0603",84.610000,28.450000,180.000000,top
"R24","1M","R_0603",69.630000,28.420000,180.000000,top
"R25","10K","R_0603",84.600000,44.650000,180.000000,top
"R26","5K1","R_0603",84.660000,47.350000,180.000000,top
"R27","1K","R_0603",58.110000,42.940000,270.000000,top
"R28","10K","R_0603",58.050000,17.320000,180.000000,top
"R29","10K","R_0603",58.020000,12.230000,180.000000,top
"R30","200K","R_0603",58.030000,14.780000,0.000000,top
"R31","10K","R_0603",55.260000,31.120000,90.000000,top
"R32","10K","R_0603",58.010000,31.120000,90.000000,top
"R33","10K","R_0603",61.850000,28.440000,0.000000,top
"R34","1M","R_0603",65.020000,20.330000,270.000000,top
"R35","10K","R_0603",68.060000,39.290000,0.000000,top
"R36","1K","R_0603",84.610000,35.350000,180.000000,top
"R37","10K","R_0603",71.400000,39.290000,0.000000,top
"R38","10K","R_0603",58.110000,37.810000,90.000000,top
"R39","10K","R_0603",75.160000,36.850000,0.000000,top
"R40","200K","R_0603",21.290000,4.410000,180.000000,top
"R41","5K1","R_0603",17.810000,12.180000,180.000000,top
"R42","10K","R_0603",17.800000,9.570000,0.000000,top
"R43","5K1","R_0603",14.280000,9.570000,0.000000,top
"R44","5K1","R_0603",25.080000,4.420000,180.000000,top
"R45","1M","R_0603",58.080000,34.240000,270.000000,top
"R46","200K","R_0603",70.485000,31.905000,90.000000,top
"R47","1K","R_0603",72.880000,31.910000,90.000000,top
"R48","5K1","R_0603",14.290000,12.180000,0.000000,top
"R49","200","R_0603",58.060000,19.700000,0.000000,top
"R50","200K","R_0603",10.800000,7.080000,180.000000,top
"R51","1k","R_0603",11.030000,43.940000,90.000000,top
"R52","5K1","R_0603",58.070000,22.280000,180.000000,top
"R53","5K1","R_0603",5.200000,46.260000,270.000000,top
"R54","18","R_0603",21.980000,26.540000,180.000000,top
"R55","18","R_0603",21.970000,23.120000,180.000000,top
"R56","18","R_0603",26.280000,26.540000,180.000000,top
"R57","18","R_0603",26.300000,23.110000,180.000000,top
"R58","200","R_0603",10.800000,12.180000,180.000000,top
"S2","PSLab_Logo","PSLab_Logo",55.260000,10.130000,0.000000,top
"S6","FOSSASIA_Logo_S","FOSSASIA_Logo",84.910000,8.930000,0.000000,top
"S8","OpnTec_Logo","OpnTec_Logo",70.460000,8.980000,0.000000,top
"U1","LDFM33PVR","DFN-6-1EP_3x3mm_Pitch0.95mm",6.410000,50.320000,180.000000,top
"U2","74HC126","SOIC-14_3.9x8.7mm_Pitch1.27mm",42.920000,9.730000,0.000000,top
"U3","PIC24EP256GP204","TQFP-44_10x10mm_Pitch0.8mm",47.120000,23.260000,90.000000,top
"U4","TC1240A","SOT-23-6",8.530000,31.920000,0.000000,top
"U5","7660","SOIC-8_3.9x4.9mm_Pitch1.27mm",31.660000,41.630000,180.000000,top
"U7","LM324","SOIC-14_3.9x8.7mm_Pitch1.27mm",77.810000,43.530000,0.000000,top
"U8","TL082","SOIC-8_3.9x4.9mm_Pitch1.27mm",76.130000,24.050000,0.000000,top
"U9","MCP4728","MSOP-10_3x3mm_Pitch0.5mm",65.410000,43.130000,0.000000,top
"U10","TL082","SOIC-8_3.9x4.9mm_Pitch1.27mm",66.130000,16.080000,0.000000,top
"U11","6S21","SOIC-8_3.9x4.9mm_Pitch1.27mm",85.170000,24.060000,0.000000,top
"U12","6S21","SOIC-8_3.9x4.9mm_Pitch1.27mm",76.170000,16.080000,0.000000,top
"U13","TL082","SOIC-8_3.9x4.9mm_Pitch1.27mm",28.420000,12.330000,180.000000,top
"U14","CP2102","QFN-24-1EP_4x4mm_Pitch0.5mm",13.190000,38.730000,180.000000,top
"U16","TL082","SOIC-8_3.9x4.9mm_Pitch1.27mm",64.890000,32.790000,0.000000,top
"U17","SP0503BAHT","SOT-143",8.310000,38.730000,270.000000,top
"X1","12MHz","Crystal_SMD_5032-2pin_5.0x3.2mm",42.500000,34.370000,0.000000,top
