Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1225","BatteryHolder_LINX_BAT-HLD-012-SMT",84.780000,6.840000,0.000000,top
"C1","0.1u","C_0603_1608Metric",58.020000,9.620000,0.000000,top
"C2","0.1u","C_0603_1608Metric",1.340000,31.390000,270.000000,top
"C3","10u","C_0603_1608Metric",18.560000,2.610000,90.000000,top
"C4","0.1u","C_0603_1608Metric",38.190000,23.220000,90.000000,top
"C5","1u","C_0603_1608Metric",25.420000,2.560000,90.000000,top
"C6","10u","C_0603_1608Metric",20.220000,7.580000,270.000000,top
"C7","10nF","C_0603_1608Metric",15.020000,11.620000,90.000000,top
"C8","33p","C_0603_1608Metric",40.660000,37.890000,270.000000,top
"C9","0.1u","C_0603_1608Metric",38.420000,11.620000,90.000000,top
"C10","33p","C_0603_1608Metric",44.350000,37.890000,270.000000,top
"C11","100u","CP_Tantalum_Case-C_EIA-6032-28_Reflow",21.760000,40.410000,90.000000,top
"C12","33u","CP_Tantalum_Case-B_EIA-3528-21_Reflow",26.060000,39.180000,90.000000,top
"C13","0.1u","C_0603_1608Metric",47.120000,31.950000,0.000000,top
"C14","100u","CP_Tantalum_Case-C_EIA-6032-28_Reflow",16.020000,31.970000,180.000000,top
"C15","10u","C_0603_1608Metric",10.060000,50.520000,270.000000,top
"C16","100u","CP_Tantalum_Case-C_EIA-6032-28_Reflow",41.980000,42.380000,180.000000,top
"C17","0.1u","C_0603_1608Metric",58.110000,24.960000,180.000000,top
"C18","100u","CP_Tantalum_Case-C_EIA-6032-28_Reflow",24.050000,47.010000,0.000000,top
"C19","33u","CP_Tantalum_Case-B_EIA-3528-21_Reflow",35.140000,47.100000,180.000000,top
"C20","1u","C_0603_1608Metric",2.710000,50.520000,270.000000,top
"C21","10u","C_0603_1608Metric",50.620000,15.260000,0.000000,top
"C22","0.1u","C_0603_1608Metric",77.470000,20.240000,180.000000,top
"C23","0.5p","C_0603_1608Metric",69.030000,25.330000,270.000000,top
"C24","0.1u","C_0603_1608Metric",66.280000,46.180000,180.000000,top
"C25","0.1u","C_0603_1608Metric",73.530000,28.440000,0.000000,top
"C26","0.1u","C_0603_1608Metric",78.080000,28.440000,0.000000,top
