Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1225","BatteryHolder_LINX_BAT-HLD-012-SMT",175.8400,-106.7220,0.0000,top
"C1","0.1uF","C_0603_1608Metric",156.3450,-101.4520,0.0000,top
"C2","0.1uF","C_0603_1608Metric",92.6545,-82.5920,90.0000,top
"C3","0.1uF","C_0603_1608Metric",136.9140,-77.7660,270.0000,top
"C4","0.1uF","C_0603_1608Metric",139.0730,-87.6720,90.0000,top
"C5","0.1uF","C_0603_1608Metric",129.1670,-97.7685,0.0000,top
"C6","10uF","C_0603_1608Metric",129.1040,-99.9910,180.0000,top
"C7","10nF","C_0603_1608Metric",130.1830,-110.2780,270.0000,top
"C8","33pF","C_0603_1608Metric",143.5185,-73.1305,90.0000,top
"C9","0.1uF","C_0603_1608Metric",152.0900,-101.4520,180.0000,top
"C10","33pF","C_0603_1608Metric",145.7405,-73.1305,90.0000,top
"C11","100uF","CP_EIA-6032-28_Kemet-C",117.1900,-77.3850,180.0000,top
"C12","33uF","CP_EIA-3528-21_Kemet-B",126.9060,-77.3215,0.0000,top
"C13","0.1uF","C_0603_1608Metric",148.5980,-77.7660,90.0000,top
"C14","100uF","CP_EIA-6032-28_Kemet-C",115.2860,-83.7350,270.0000,top
"C15","10uF","C_0603_1608Metric",101.0000,-63.0600,270.0000,top
"C16","100uF","CP_EIA-6032-28_Kemet-C",127.2870,-70.9715,90.0000,top
"C17","0.1uF","C_0603_1608Metric",157.5515,-87.8625,270.0000,top
"C18","100uF","CP_EIA-6032-28_Kemet-C",115.2860,-70.9715,90.0000,top
"C19","33uF","CP_EIA-3528-21_Kemet-B",122.5240,-67.0980,180.0000,top
"C20","1uF","C_0603_1608Metric",93.6500,-63.2245,270.0000,top
"C21","10uF","C_0603_1608Metric",148.9790,-97.3240,270.0000,top
"C22","0.1uF","C_0603_1608Metric",169.6160,-99.4830,180.0000,top
"C23","0.5pF","C_0603_1608Metric",175.3320,-89.0055,0.0000,top
"C24","0.1uF","C_0603_1608Metric",148.2810,-69.7650,0.0000,top
"C25","0.1uF","C_0603_1608Metric",179.7760,-91.1645,0.0000,top
"C26","0.1uF","C_0603_1608Metric",172.4740,-96.5620,270.0000,top
"C27","0.1uF","C_0603_1608Metric",156.0280,-67.6060,180.0000,top
"C28","0.1uF","C_0603_1608Metric",169.6160,-89.0055,180.0000,top
"C29","0.5pF","C_0603_1608Metric",175.3320,-78.5915,0.0000,top
"C30","1nF","C_0603_1608Metric",130.1830,-102.7850,90.0000,top
"C31","0.1uF","C_0603_1608Metric",172.4740,-86.0845,270.0000,top
"C32","0.1uF","C_0603_1608Metric",160.7900,-67.6060,0.0000,top
"C33","10uF","C_0603_1608Metric",142.0575,-99.2925,180.0000,top
"C34","0.1uF","C_0603_1608Metric",169.6160,-78.5280,180.0000,top
"C35","0.1uF","C_0603_1608Metric",133.4850,-101.4520,180.0000,top
"C36","1nF","C_0603_1608Metric",141.2960,-106.5320,90.0000,top
"C37","0.1uF","C_0603_1608Metric",172.4740,-75.6705,270.0000,top
"C38","0.1uF","C_0603_1608Metric",137.9300,-101.4520,0.0000,top
"C39","0.1uF","C_0603_1608Metric",165.1720,-99.4830,180.0000,top
"C40","10nF","C_0603_1608Metric",137.9300,-99.2925,180.0000,top
"C41","0.1uF","C_0603_1608Metric",165.1720,-89.0055,180.0000,top
"C42","1uF","C_0603_1608Metric",179.8400,-67.6060,0.0000,top
"C43","0.1uF","C_0603_1608Metric",108.6560,-69.6380,90.0000,top
"C44","10uF","C_0603_1608Metric",110.7520,-69.6500,90.0000,top
"C45","2.2uF","C_0603_1608Metric",116.5940,-100.0540,180.0000,top
"C46","10uF","C_0603_1608Metric",105.6720,-105.5790,0.0000,top
"C47","100uF","CP_EIA-6032-28_Kemet-C",124.4680,-108.0560,270.0000,top
"D1","6.8V","D_MiniMELF",125.0010,-85.2590,0.0000,top
"D2","6.8V","D_MiniMELF",130.7800,-72.0510,90.0000,top
"D3","GREEN","LED_0805_2012Metric",160.7260,-97.3240,270.0000,top
"D4","BLUE","LED_0805_2012Metric",93.6000,-67.3400,90.0000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",114.6890,-95.6095,0.0000,top
"D6","LL4148","D_MiniMELF",122.2460,-95.4825,0.0000,top
"F1","1A","Fuse_1206_3216Metric",99.0680,-68.1140,90.0000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1.5mm",109.6090,-111.1040,0.0000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1.5mm",188.0000,-106.0000,0.0000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1.5mm",188.0000,-62.4000,0.0000,top
"J1","DoublePins","PinSocket_2x14_P2.54mm_Vertical",187.4600,-67.8600,0.0000,top
"J2","Power Pins","PinSocket_1x08_P2.54mm_Vertical",156.9800,-62.7800,90.0000,top
"J3","Wave Generator","PinSocket_1x08_P2.54mm_Vertical",146.8200,-111.0400,90.0000,top
"J4","I2C","PinSocket_1x04_P2.54mm_Vertical",131.5800,-62.7800,90.0000,top
"J5","I2C","PinSocket_1x04_P2.54mm_Vertical",144.2800,-62.7800,90.0000,top
"J6","ESP01","ESP-01",94.3055,-104.8170,90.0000,top
"J7","UART","PinSocket_1x04_P2.54mm_Vertical",134.1200,-111.0740,90.0000,top
"J9","SPI","PinSocket_1x06_P2.54mm_Vertical",113.8000,-62.7800,90.0000,top
"J11","Li-Ion Battery","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",95.5755,-109.5160,0.0000,top
"L1","10uH","L_0603_1608Metric",152.9160,-77.7660,270.0000,top
"L2","2.2uH","L_Coilcraft_XAL5030",111.0700,-106.7220,90.0000,top
"P1","SDCard","microSD_HC_Hirose_DM3AT-SF-PEJM5",99.8300,-91.9265,270.0000,top
"Q1","MMBT3906","SOT-23",165.4260,-73.0670,0.0000,top
"Q2","MMBT3904","SOT-23",125.8900,-81.8935,90.0000,top
"Q3","MMBT3906","SOT-23",134.1450,-71.0985,90.0000,top
"Q4","Q_NMOS_DGS","PowerPAK_SO-8_Single",122.3180,-100.1820,0.0000,top
"R1","10K","R_0603_1608Metric",150.7570,-77.7660,90.0000,top
"R2","5K1","R_0603_1608Metric",139.0100,-77.7660,90.0000,top
"R3","5K1","R_0603_1608Metric",141.1680,-77.7660,90.0000,top
"R4","18","R_0603_1608Metric",122.8420,-77.3850,270.0000,top
"R5","1K","R_0603_1608Metric",122.8420,-81.9570,90.0000,top
"R6","200","R_0603_1608Metric",151.1380,-97.3240,90.0000,top
"R7","200","R_0603_1608Metric",153.2970,-97.3240,90.0000,top
"R8","200","R_0603_1608Metric",155.4560,-97.3240,90.0000,top
"R9","200","R_0603_1608Metric",157.5520,-97.3240,90.0000,top
"R10","10K","R_0603_1608Metric",156.0280,-78.5280,0.0000,top
"R11","1K","R_0603_1608Metric",131.1600,-67.9870,0.0000,top
"R12","5K1","R_0603_1608Metric",165.1715,-78.5915,0.0000,top
"R13","18","R_0603_1608Metric",118.5880,-67.2250,90.0000,top
"R14","10K","R_0603_1608Metric",169.6160,-76.3690,0.0000,top
"R15","5K1","R_0603_1608Metric",141.2960,-102.7850,270.0000,top
"R16","10K","R_0603_1608Metric",175.3320,-99.4830,180.0000,top
"R17","10K","R_0603_1608Metric",179.7760,-99.4830,0.0000,top
"R18","10K","R_0603_1608Metric",151.9630,-69.7650,0.0000,top
"R19","10K","R_0603_1608Metric",151.9630,-67.6060,180.0000,top
"R20","200K","R_0603_1608Metric",175.3320,-91.1645,180.0000,top
"R21","10K","R_0603_1608Metric",143.4540,-106.5320,270.0000,top
"R22","10K","R_0603_1608Metric",165.1720,-91.1645,0.0000,top
"R23","10K","R_0603_1608Metric",169.6160,-91.1645,180.0000,top
"R24","1M","R_0603_1608Metric",179.7760,-89.0055,0.0000,top
"R25","10K","R_0603_1608Metric",165.2350,-67.6060,0.0000,top
"R26","5K1","R_0603_1608Metric",165.2350,-69.8285,180.0000,top
"R27","1K","R_0603_1608Metric",148.2810,-67.6060,0.0000,top
"R28","10K","R_0603_1608Metric",169.6160,-80.7505,180.0000,top
"R29","10K","R_0603_1608Metric",165.1720,-80.7505,0.0000,top
"R30","200K","R_0603_1608Metric",175.3320,-80.7505,0.0000,top
"R31","10K","R_0603_1608Metric",169.6160,-74.1465,180.0000,top
"R32","10K","R_0603_1608Metric",169.6160,-71.9875,0.0000,top
"R33","10K","R_0603_1608Metric",169.6160,-69.8285,0.0000,top
"R34","1M","R_0603_1608Metric",179.7760,-80.7505,0.0000,top
"R35","10K","R_0603_1608Metric",156.0280,-76.3690,0.0000,top
"R36","1K","R_0603_1608Metric",165.1720,-76.4325,0.0000,top
"R37","10K","R_0603_1608Metric",160.7260,-76.3690,0.0000,top
"R38","10K","R_0603_1608Metric",175.4585,-69.8285,180.0000,top
"R39","10K","R_0603_1608Metric",169.6160,-67.6060,180.0000,top
"R40","200K","R_0603_1608Metric",147.3280,-101.4520,180.0000,top
"R41","5K1","R_0603_1608Metric",128.0240,-102.7850,90.0000,top
"R42","10K","R_0603_1608Metric",130.1830,-106.5320,90.0000,top
"R43","5K1","R_0603_1608Metric",128.0240,-106.5320,90.0000,top
"R44","5K1","R_0603_1608Metric",143.4540,-102.7850,90.0000,top
"R45","1M","R_0603_1608Metric",179.7760,-78.5915,0.0000,top
"R46","200K","R_0603_1608Metric",179.8400,-69.8285,180.0000,top
"R47","1K","R_0603_1608Metric",175.4580,-67.6060,180.0000,top
"R48","5K1","R_0603_1608Metric",104.3380,-69.6380,270.0000,top
"R49","200","R_0603_1608Metric",157.5515,-91.1645,90.0000,top
"R50","200K","R_0603_1608Metric",128.0240,-110.3420,90.0000,top
